0.111769 0.946477 0.0949646 0.946477 0.0949646 0.946477 0.0949646 0.946477 0.0949646 0.0324198
0.230643 0.879434 0.189072 0.879434 0.189072 0.879434 0.189072 0.879434 0.189072 0.0358035
0.3528 0.801709 0.275182 0.801709 0.275182 0.801709 0.275182 0.801709 0.275182 0.0383529
0.474751 0.717042 0.348851 0.717042 0.348851 0.717042 0.348851 0.717042 0.348851 0.0406359
0.596266 0.629689 0.407846 0.629689 0.407846 0.629689 0.407846 0.629689 0.407846 0.0407919
0.717865 0.541677 0.452803 0.541677 0.452803 0.541677 0.452803 0.541677 0.452803 0.0404442
0.840194 0.454276 0.484776 0.454276 0.484776 0.454276 0.484776 0.454276 0.484776 0.0400178
0.963908 0.368485 0.50475 0.368485 0.50475 0.368485 0.50475 0.368485 0.50475 0.0395983
1.08967 0.285186 0.513591 0.285186 0.513591 0.285186 0.513591 0.285186 0.513591 0.0391887
1.21821 0.205193 0.512072 0.205193 0.512072 0.205193 0.512072 0.205193 0.512072 0.0387743
1.35032 0.129281 0.500902 0.129281 0.500902 0.129281 0.500902 0.129281 0.500902 0.0383356
1.48698 0.0581966 0.480739 0.0581966 0.480739 0.0581966 0.480739 0.0581966 0.480739 0.0378493
1.62942 -0.00732248 0.452205 -0.00732248 0.452205 -0.00732248 0.452205 -0.00732248 0.452205 0.0372842
1.77926 -0.0665294 0.415889 -0.0665294 0.415889 -0.0665294 0.415889 -0.0665294 0.415889 0.0365933
1.93752 -0.118639 0.37233 -0.118639 0.37233 -0.118639 0.37233 -0.118639 0.37233 0.0363072
2.09594 -0.162459 0.322429 -0.162459 0.322429 -0.162459 0.322429 -0.162459 0.322429 0.0404184
2.25379 -0.1952 0.270468 -0.1952 0.270468 -0.1952 0.270468 -0.1952 0.270468 0.0407931
2.41213 -0.217433 0.218479 -0.217433 0.218479 -0.217433 0.218479 -0.217433 0.218479 0.0402507
2.57231 -0.230198 0.16765 -0.230198 0.16765 -0.230198 0.16765 -0.230198 0.16765 0.0395689
2.73578 -0.234442 0.118873 -0.234442 0.118873 -0.234442 0.118873 -0.234442 0.118873 0.0388914
2.90408 -0.23099 0.072924 -0.23099 0.072924 -0.23099 0.072924 -0.23099 0.072924 0.0382079
3.07905 -0.220577 0.0305215 -0.220577 0.0305215 -0.220577 0.0305215 -0.220577 0.0305215 0.0374721
3.26306 -0.203883 -0.00764332 -0.203883 -0.00764332 -0.203883 -0.00764332 -0.203883 -0.00764332 0.0366181
3.45948 -0.181547 -0.04088 -0.181547 -0.04088 -0.181547 -0.04088 -0.181547 -0.04088 0.035544
